"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.5399,24,1,32119,-1,0,1,1,0.045678,-0.020475,0,0,0,-6.0349e-14,0.050057,6.0349e-14,-1,0,6,2.6094e+06,-1.6709e+06,0,0,0,0,3.0985e+06,-3157.6,3.1548e+05,0,3.155e+05,0,0,5.2532e-08,5.2532e-08,1,207.26,36.603,0
1.4744,25,1,28196,-1,0,1,1,0.029628,-0.00143,0,0,0,-8.9476e-15,0.029662,8.9476e-15,-1,0,6,1.7718e+06,-1.2437e+06,0,0,0,0,2.1647e+06,-1338.5,2.7779e+05,0,2.778e+05,0,0,-2.8844e-08,2.8844e-08,1,224.76,40.731,0
1.36,26,1,22127,-1,0.5,0.5,0.5,0.072258,0.0010424,0,0,0,-6.6493e-15,0.072266,6.6493e-15,-1,0,5,3.9398e+06,-1.296e+06,0,0,0,0,4.1475e+06,1593.5,2.186e+05,0,2.1861e+05,0,0,-3.2771e-08,3.2771e-08,1,246.4,3.7183,0
1.7641,27,1,48290,-1,1,1,0,-0.24711,0.027242,0,0,0,-1.3995e-14,0.2486,1.3995e-14,-1,0,7,-91284,9.3825e+05,0,0,0,0,9.4268e+05,30314,4.8614e+05,0,4.8709e+05,0,0,-1.0454e-07,1.0454e-07,1,450.85,35.732,0
1.6061,28,1,36447,-1,1,0,0,0.014884,0.079506,0,0,0,2.633e-14,0.080887,2.633e-14,-1,0,7,1.4396e+06,9.1996e+05,0,0,0,0,1.7084e+06,33261,3.2366e+05,0,3.2536e+05,0,0,6.9325e-08,6.9325e-08,1,363.65,9.6818,0
1.5583,29,1,33283,-1,0.85,0.85,0.85,0.049031,0.0014531,0,0,0,4.753e-14,0.049053,4.753e-14,-1,0,5,2.0283e+06,1.3415e+05,0,0,0,0,2.0328e+06,288.01,3.2505e+05,0,3.2505e+05,0,0,-1.3487e-07,1.3487e-07,1,326.03,30.05,0
1.3346,30,1,20912,-1,0.5,0.5,0.5,-0.052933,-0.0055104,0,0,0,2.2755e-13,0.053219,2.2755e-13,-1,0,6,5.9503e+06,2.2464e+06,0,0,0,0,6.3602e+06,-12620,2.0565e+05,0,2.0604e+05,0,0,-4.306e-07,4.306e-07,1,562.3,8.7711,0
1.1297,31,1,12682,-1,0.9,0.9,0.9,-0.0052204,-0.00092985,0,0,0,-1.4766e-14,0.0053026,1.4766e-14,-1,0,3,1.0173e+06,-9.0134e+05,0,0,0,0,1.3591e+06,233.09,1.2409e+05,0,1.2409e+05,0,0,-1.2573e-08,1.2573e-08,1,90.01,45.352,0
1.4862,32,1,28876,-1,0.5,0.5,0.5,0.052774,-0.0022506,0,0,0,6.1405e-16,0.052822,6.1405e-16,-1,0,6,3.4107e+06,3.3666e+05,0,0,0,0,3.4272e+06,5435.4,2.8466e+05,0,2.8472e+05,0,0,6.0754e-09,6.0754e-09,1,229.02,6.7053,0
1.6814,33,1,41815,-1,0.85,0.85,0.85,0.05267,-0.0044061,0,0,0,-2.0134e-14,0.052854,2.0134e-14,-1,0,6,2.7582e+06,1.2119e+06,0,0,0,0,3.0127e+06,737.22,4.0498e+05,0,4.0498e+05,0,0,-8.5041e-08,8.5041e-08,1,303.01,26.54,0
1.1055,34,1,11884,-1,0,1,1,-0.0026893,0.0024026,0,0,0,-2.2535e-14,0.0036062,2.2535e-14,-1,0,5,8.6161e+05,-3.2785e+05,0,0,0,0,9.2188e+05,-48.067,1.1659e+05,0,1.1659e+05,0,0,-6.5484e-09,6.5484e-09,1,44.159,34.494,0
1.2825,35,1,18554,-1,0.5,0.5,0.5,0.018211,0.00020915,0,0,0,-2.5035e-14,0.018212,2.5035e-14,-1,0,6,4.2632e+06,-6.0625e+05,0,0,0,0,4.306e+06,2184.1,1.8196e+05,0,1.8198e+05,0,0,-3.4488e-08,3.4488e-08,1,168.3,3.2704,0
1.8723,36,1,57734,-1,1,1,0,0.0048644,0.13285,0,0,0,-3.9992e-15,0.13294,3.9992e-15,-1,0,7,2.8222e+06,1.0772e+06,0,0,0,0,3.0208e+06,-22070,5.4996e+05,0,5.504e+05,0,0,-1.7128e-07,1.7128e-07,1,367.82,26.236,0
1.5538,37,1,33002,-1,0.85,0.85,0.85,-0.22308,-0.0060131,0,0,0,-3.9518e-14,0.22316,3.9518e-14,-1,0,8,2.0928e+06,8.2251e+05,0,0,0,0,2.2486e+06,-14795,3.1422e+05,0,3.1457e+05,0,0,-7.0315e-08,7.0315e-08,1,513.61,39.208,0
1.9397,38,1,64194,-1,1,0,1,0.11277,0.0037038,0,0,0,4.5882e-15,0.11283,4.5882e-15,-1,0,8,8.8234e+05,-4.0984e+05,0,0,0,0,9.7288e+05,6968.3,6.411e+05,0,6.4114e+05,0,0,8.2582e-09,8.2582e-09,1,581.71,45.27,0
1.2196,39,1,15959,-1,0.9,0.9,0.9,-0.20787,-0.042421,0,0,0,-1.982e-14,0.21216,1.982e-14,-1,0,5,7.8859e+05,1.3301e+06,0,0,0,0,1.5463e+06,-5244.8,1.4193e+05,0,1.4203e+05,0,0,-6.4174e-08,6.4174e-08,1,486.7,49.289,0
1.0849,40,1,11233,-1,1,0,0,0.029091,-0.0028224,0,0,0,3.5598e-13,0.029227,3.5598e-13,-1,0,6,3.3177e+06,-2.8405e+05,0,0,0,0,3.3299e+06,-487.39,1.0888e+05,0,1.0888e+05,0,0,-5.4075e-08,5.4075e-08,1,187.98,5.7192,0
1.7175,41,1,44565,-1,1,1,0,-0.11365,0.28522,0,0,0,1.449e-14,0.30703,1.449e-14,-1,0,7,1.8502e+06,4.5089e+05,0,0,0,0,1.9044e+06,55800,4.3851e+05,0,4.4205e+05,0,0,8.4256e-08,8.4256e-08,1,395.1,35.628,0
1.7324,42,1,45731,-1,0.85,0.85,0.85,-0.20988,-0.077049,0,0,0,9.5576e-14,0.22358,9.5576e-14,-1,0,6,5.9017e+06,1.9578e+06,0,0,0,0,6.218e+06,3178.9,4.0156e+05,0,4.0158e+05,0,0,-3.6904e-08,3.6904e-08,1,479.46,27.03,0
1.2428,43,1,16887,-1,0.85,0.85,0.85,0.033856,-0.0066943,0,0,0,-3.974e-14,0.034512,3.974e-14,-1,0,6,3.9972e+06,65847,0,0,0,0,3.9977e+06,1450.3,1.6507e+05,0,1.6508e+05,0,0,-6.8103e-09,6.8103e-09,1,178.15,27.51,0
1.5572,44,1,33213,-1,0.9,0.9,0.9,0.072661,-0.022117,0,0,0,-5.8656e-15,0.075952,5.8656e-15,-1,0,3,-49882,-5.5899e+05,0,0,0,0,5.6121e+05,1358.3,3.2594e+05,0,3.2594e+05,0,0,-2.1799e-08,2.1799e-08,1,187.38,48.569,0
1.4532,45,1,26997,-1,0,1,1,0.10234,0.043948,0,0,0,-4.077e-13,0.11138,4.077e-13,-1,0,6,2.9289e+06,5.0433e+05,0,0,0,0,2.972e+06,12131,2.7468e+05,0,2.7495e+05,0,0,-7.241e-08,7.241e-08,1,586.96,34.242,0
1.0657,46,1,10648,-1,1,0,1,0.004595,-0.0096431,0,0,0,-1.2904e-13,0.010682,1.2904e-13,-1,0,6,1.3385e+06,2.8979e+05,0,0,0,0,1.3695e+06,-4220,1.0442e+05,0,1.0451e+05,0,0,-5.4191e-08,5.4191e-08,1,339.67,39.228,0
1.4494,47,1,26787,-1,0,1,0,-0.10039,0.042131,0,0,0,-4.1613e-14,0.10887,4.1613e-14,-1,0,6,3.6576e+06,1.4038e+06,0,0,0,0,3.9178e+06,-11696,1.8127e+05,0,1.8164e+05,0,0,-1.6519e-07,1.6519e-07,1,413.18,24.252,0
1.9405,48,1,64273,-1,0.9,0.9,0.9,-0.13436,0.16953,0,0,0,1.4407e-14,0.21632,1.4407e-14,-1,0,6,7.7908e+05,-9.0485e+05,0,0,0,0,1.194e+06,14510,6.2217e+05,0,6.2234e+05,0,0,-3.3739e-07,3.3739e-07,1,721.24,56.379,0
